"White (Eg: German, Irish, English, Italian, Polish, French, etc)",53
"Hispanic, Latino or Spanish origin (Eg: Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc)",5
"Black or African American (Eg: African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc)",3
"Asian (Eg: Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc)",2
"American Indian, Alaska Native, or Indigenous (Eg: Navajo nation, Blackfeet tribe, Mayan, Aztec, Inuit, Métis, Nome Eskimo Community, etc)",1
"Middle Eastern or North African (Eg: Lebanese, Iranian, Egyptian, Syrian, Moroccan, Algerian, etc)",2
"Pacific Islander (Eg: Native Hawaiian, Samoan, Chamorro, Tongan, Fijian, etc)",1
Southeast Asian,1
Other,3
N/A,2
