response,count
total,351
Academic researcher,17
Communications professional,2
Community organizer,10
Consultant,23
Data or business analyst,5
Data scientist or machine learning specialist,7
Database administrator,3
Designer, 28
Developer, 95
DevOps specialist,5
Educator,8
Entrepreneur,30
General user,17
IT professional,15
Legal/Policy professional,1
Marketing or sales professional,6
Medical professional,2
Product 10
Project manager,10
QA analyst or tester,2
Scientist,15
Student,13
System administrator,9
Writer, 18
